branch_id,title,descriptions,start_datetime,end_datetime,created_at,updated_at,entry_type
11,System,,2018-12-31 00:00:00,2018-12-31 23:59:59,2020-12-20 21:52:01,2020-12-20 21:52:05,other
11,System,,2019-12-31 00:00:00,2019-12-31 23:59:59,2020-12-20 21:52:17,2020-12-20 21:52:21,other
11,Movement Control Order,,2020-03-12 00:00:00,2020-06-28 23:59:59,2020-12-20 21:54:06,2020-12-20 21:59:24,other
11,Conditional MCO,,2020-08-01 00:00:00,2020-08-31 23:59:59,2020-12-20 21:54:38,2020-12-20 21:59:25,other
11,Conditional MCO 2,,2020-10-31 00:00:00,2020-11-26 23:59:59,2020-12-20 21:55:15,2021-01-28 12:04:10,other
11,MCO Free One Week,,2020-06-29 00:00:00,2020-07-05 23:59:59,2020-12-20 21:58:52,2020-12-23 17:45:59,other
5,Centre Holiday,,2018-12-17 00:00:00,2018-12-24 23:59:59,2020-12-23 15:59:04,2020-12-23 15:59:11,centre holiday
5,Centre Holiday 1,,2019-02-04 00:00:00,2019-02-10 23:59:59,2020-12-23 15:59:53,2020-12-23 16:01:06,centre holiday
5,Centre Holiday 2,,2019-06-03 00:00:00,2019-06-09 23:59:59,2020-12-23 16:00:28,2020-12-23 16:01:06,centre holiday
5,Centre Holiday 3,,2019-12-17 00:00:00,2019-12-31 23:59:59,2020-12-23 16:00:58,2020-12-23 16:01:06,centre holiday
11,Centre Holiday,,2020-12-21 00:00:00,2020-12-31 23:59:59,2020-12-23 17:52:56,2020-12-23 17:52:56,centre holiday
11,Centre Holiday 1,,2021-01-01 00:00:00,2021-01-03 23:59:59,2020-12-23 17:56:43,2020-12-23 18:02:00,centre holiday
11,Centre Holiday 2,,2021-02-10 00:00:00,2021-02-16 23:59:59,2020-12-23 17:57:07,2020-12-23 18:02:00,centre holiday
11,Centre Holiday 3,,2021-05-13 00:00:00,2021-05-14 23:59:59,2020-12-23 17:58:19,2020-12-23 18:01:14,centre holiday
11,Centre Holiday 3,,2021-05-10 00:00:00,2021-05-16 23:59:59,2020-12-23 17:59:53,2021-04-28 13:07:12,centre holiday
11,Centre Holiday 4,,2021-12-20 00:00:00,2021-12-31 23:59:59,2020-12-23 18:01:47,2020-12-23 18:02:00,centre holiday
5,Chinese New Year,,2020-01-23 00:00:00,2020-01-29 23:59:59,2020-12-30 21:57:18,2020-12-30 21:59:12,public holiday
5,MCO,,2020-03-12 00:00:00,2020-06-28 23:59:59,2020-12-30 21:57:56,2020-12-30 21:59:12,other
5,MCO free,,2020-06-29 00:00:00,2020-07-05 23:59:59,2020-12-30 21:58:24,2020-12-30 21:59:12,other
5,CMCO,,2020-10-05 00:00:00,2020-12-31 23:59:59,2020-12-30 21:58:53,2021-01-01 01:36:38,other
5,Centre Holiday,,2020-12-21 00:00:00,2020-12-31 23:59:59,2020-12-30 21:59:09,2021-01-01 01:36:40,centre holiday
5,CMCO,,2021-01-01 00:00:00,2021-01-03 23:59:59,2020-12-30 21:59:42,2021-01-16 14:58:31,other
5,Chinese New Year,,2021-02-10 00:00:00,2021-02-16 23:59:59,2020-12-30 22:00:06,2020-12-30 22:02:00,public holiday
5,Hari Raya,,2021-05-13 00:00:00,2021-05-14 23:59:59,2020-12-30 22:00:47,2021-01-07 19:18:51,public holiday
5,Centre Holiday,,2021-06-07 00:00:00,2021-06-13 23:59:59,2020-12-30 22:01:12,2020-12-30 22:02:00,centre holiday
5,Deepavali,,2021-11-04 00:00:00,2021-11-04 23:59:59,2020-12-30 22:01:28,2021-01-07 19:19:04,public holiday
5,Centre Holiday,,2021-12-20 00:00:00,2021-12-31 23:59:59,2020-12-30 22:01:56,2021-01-01 01:36:22,centre holiday
6,Centre Holiday,,2018-12-17 00:00:00,2018-12-24 23:59:59,2021-01-01 16:12:36,2021-01-01 16:12:56,centre holiday
7,Centre Holiday 1,,2018-12-18 00:00:00,2018-12-31 23:59:59,2021-01-01 16:13:05,2021-01-01 16:13:53,centre holiday
6,Centre Holiday 1,,2019-02-04 00:00:00,2019-02-10 23:59:59,2021-01-01 16:13:18,2021-01-01 16:14:19,centre holiday
6,Centre Holiday 2,,2019-06-03 00:00:00,2019-06-09 23:59:59,2021-01-01 16:14:00,2021-01-01 16:14:19,centre holiday
6,Centre Holiday 3,,2019-12-17 00:00:00,2019-12-31 23:59:59,2021-01-01 16:14:17,2021-01-01 16:14:19,centre holiday
7,Centre Holiday 1,,2019-02-04 00:00:00,2019-02-10 23:59:59,2021-01-01 16:14:35,2021-01-01 16:26:15,centre holiday
6,Chinese New Year,,2020-01-23 00:00:00,2020-01-29 23:59:59,2021-01-01 16:14:50,2021-01-01 16:16:08,public holiday
6,MCO,,2020-03-12 00:00:00,2020-06-28 23:59:59,2021-01-01 16:15:10,2021-01-01 16:16:08,other
6,MCO Free,,2020-06-29 00:00:00,2020-07-05 23:59:59,2021-01-01 16:15:27,2021-01-01 16:16:08,other
7,Chinese New Year,,2020-01-23 00:00:00,2020-01-29 23:59:59,2021-01-01 16:15:28,2021-01-01 16:30:28,public holiday
6,CMCO,,2020-10-05 00:00:00,2020-12-20 23:59:59,2021-01-01 16:15:47,2021-01-01 16:16:08,other
6,Centre Holiday,,2020-12-21 00:00:00,2020-12-31 23:59:59,2021-01-01 16:16:02,2021-01-01 16:16:08,centre holiday
6,Centre Holiday 2020,,2021-01-01 00:00:00,2021-01-03 23:59:59,2021-01-01 16:16:46,2021-01-01 16:19:17,centre holiday
6,Chinese New Year,,2021-02-10 00:00:00,2021-02-16 23:59:59,2021-01-01 16:17:39,2021-01-01 16:19:17,public holiday
6,Hari Raya,,2021-05-13 00:00:00,2021-05-14 23:59:59,2021-01-01 16:17:59,2021-01-01 17:01:12,public holiday
6,Centre Holiday,,2021-06-07 00:00:00,2021-06-13 23:59:59,2021-01-01 16:18:21,2021-01-01 16:19:17,centre holiday
6,Deepavali,,2021-11-04 00:00:00,2021-11-04 23:59:59,2021-01-01 16:18:39,2021-01-01 17:01:17,public holiday
6,Centre Holiday,,2021-12-20 00:00:00,2021-12-31 23:59:59,2021-01-01 16:19:05,2021-01-01 16:19:17,centre holiday
7,Centre Holiday 2,,2019-06-03 00:00:00,2019-06-09 23:59:59,2021-01-01 16:26:35,2021-01-01 16:26:35,centre holiday
7,Centre Holiday 3,,2019-12-17 00:00:00,2019-12-31 23:59:59,2021-01-01 16:29:57,2021-01-01 16:29:57,centre holiday
7,MCO,,2020-03-12 00:00:00,2020-06-28 23:59:59,2021-01-01 16:30:48,2021-01-01 16:30:48,other
7,MCO Free,,2020-06-29 00:00:00,2020-07-05 23:59:59,2021-01-01 16:31:13,2021-01-01 16:31:13,other
7,CMCO,,2020-10-05 00:00:00,2020-12-20 23:59:59,2021-01-01 16:31:32,2021-01-01 16:37:45,other
7,Centre Holiday,,2020-12-21 00:00:00,2020-12-31 23:59:59,2021-01-01 16:37:56,2021-01-01 16:37:56,centre holiday
7,Centre Holiday 2020,,2021-01-01 00:00:00,2021-01-03 23:59:59,2021-01-01 16:39:58,2021-01-01 16:46:39,centre holiday
7,Chinese New Year,,2021-02-10 00:00:00,2021-02-16 23:59:59,2021-01-01 16:40:29,2021-01-01 16:46:39,public holiday
7,Hari Raya,,2021-05-13 00:00:00,2021-05-14 23:59:59,2021-01-01 16:43:12,2021-01-01 17:01:00,public holiday
