id,branch,category,label,day,start_time,end_time,created_at,updated_at
1,11,1,,Saturday,09:00:00,10:00:00,2020-12-20 22:02:11,2020-12-23 16:36:06
2,11,2,,Saturday,10:00:00,11:00:00,2020-12-20 22:04:02,2020-12-23 16:36:21
3,11,1,,Saturday,13:00:00,14:00:00,2020-12-20 22:04:38,2020-12-23 16:36:23
4,11,1,,Saturday,15:00:00,16:00:00,2020-12-20 22:05:21,2020-12-23 16:36:24
5,11,2,,Saturday,15:00:00,16:00:00,2020-12-20 22:05:45,2020-12-23 16:36:26
6,5,1,,Wednesday,17:15:00,18:15:00,2020-12-23 16:02:42,2020-12-23 16:03:07
7,11,1,Saturday 09:00 - 10:00 (old),Saturday,09:00:00,10:00:00,2020-12-23 16:42:23,2023-10-20 16:29:33
8,11,2,,Saturday,10:00:00,11:00:00,2020-12-23 16:43:05,2020-12-23 16:56:32
9,11,2,Saturday 10:00 - 11:00 (old),Saturday,10:00:00,11:00:00,2020-12-23 16:44:13,2023-10-20 16:29:43
10,11,1,Saturday 11:00 - 12:00 (old),Saturday,11:00:00,12:00:00,2020-12-23 16:44:49,2023-10-20 16:29:47
11,11,1,Saturday 15:00 - 16:00 (old),Saturday,15:00:00,16:00:00,2020-12-23 16:45:41,2023-10-20 16:31:02
12,11,2,Saturday 15:00 - 16:00 (old),Saturday,15:00:00,16:00:00,2020-12-23 16:46:05,2023-10-20 16:31:24
13,11,1,Saturday 16:00 - 17:00 (old),Saturday,16:00:00,17:00:00,2020-12-23 16:52:25,2023-10-20 16:31:28
14,11,2,Saturday 16:00 - 17:00 (old),Saturday,16:00:00,17:00:00,2020-12-23 16:52:53,2023-10-20 16:32:02
15,11,1,Saturday 17:00 - 18:00 (old),Saturday,17:00:00,18:00:00,2020-12-23 16:53:15,2023-10-20 16:31:46
16,11,1,,Friday,18:00:00,19:00:00,2020-12-23 16:54:47,2021-01-16 17:19:47
17,11,1,Saturday 10:00 - 11:00 (old),Saturday,10:00:00,11:00:00,2020-12-23 16:56:46,2023-10-20 16:31:05
18,5,1,,Wednesday,17:15:00,18:15:00,2020-12-28 14:55:17,2020-12-28 14:58:43
19,5,1,,Wednesday,17:15:00,18:15:00,2020-12-30 22:45:03,2020-12-30 22:53:31
20,5,2,,Wednesday,17:15:00,18:15:00,2020-12-30 22:46:03,2020-12-30 22:53:32
21,5,1,,Wednesday,17:15:00,18:15:00,2020-12-31 22:37:44,2020-12-31 22:38:46
22,5,1,,Wednesday,17:15:00,18:15:00,2020-12-31 22:42:58,2020-12-31 22:59:04
23,5,1,,Wednesday,17:15:00,18:15:00,2020-12-31 23:02:21,2020-12-31 23:41:57
