"user_id","branch_id","role_id"
"256","9","6"
"256","8","7"
"298","8","6"
"298","6","7"
"2132","25","6"
"2132","11","7"
"2196","29","6"
"2196","4","7"
"1216","5","6"
"1216","7","7"
"407","3","6"
"407","4","7"
"1813","24","6"
"1813","3","7"
"1617","11","6"
"1617","4","7"
"929","13","6"
"929","6","7"
"634","3","6"
"202","2","6"
"202","6","7"
"640","3","6"
"640","4","7"
"1112","5","6"
"1112","7","7"
"981","9","6"
"981","3","7"
"779","2","6"
"1886","4","6"
"1886","3","7"
"321","8","6"
"321","6","7"
"2044","5","6"
"2044","17","7"
"1534","16","6"
"1534","3","7"
"1816","4","6"
"1816","16","7"
"1544","18","5"
"1544","3","7"
"841","7","6"
"841","7","7"
"1061","29","6"
"1061","3","7"
"1585","19","6"
"1585","13","7"
"1091","11","6"
"1091","8","7"
"1186","14","5"
"1186","2","7"
"1106","14","6"
"1106","13","7"
"1910","23","6"
"1910","2","7"
"1906","25","6"
"1906","19","7"
"1405","16","6"
"1405","4","7"
"1334","4","6"
"1334","2","7"
"974","9","6"
"974","3","7"
"1633","3","6"
"1633","2","7"
"1698","7","6"
"1698","11","7"
"1589","19","6"
"1589","16","7"
"2067","23","6"
"2067","11","7"
"1767","9","6"
"1767","7","7"
"1793","14","6"
"1793","4","7"
"1613","20","6"
"1613","3","7"
"467","5","6"
"467","5","7"
"2229","20","6"
"2229","4","7"
"316","6","6"
"316","6","7"
"1213","5","6"
"1213","4","7"
"2040","5","6"
"2040","22","7"
"2409","24","6"
"2409","8","7"
"1179","6","6"
"1179","6","7"
"716","11","6"
"716","6","7"
"450","4","6"
"450","4","7"
"426","4","6"
"426","5","7"
"1194","7","6"
"1194","13","7"
"1643","17","6"
"1643","7","7"
"436","5","6"
"436","5","7"
"365","6","6"
"191","10","6"
"191","12","7"
"953","9","6"
"953","2","7"
"1284","9","6"
"1284","5","7"
"146","5","6"
"146","9","7"
"207","7","6"
"207","9","7"
"1368","4","6"
"1368","13","7"
"142","11","6"
"2288","20","6"
"2288","18","7"
"1806","11","6"
"1806","11","7"
"347","6","6"
"347","6","7"
"2333","28","6"
"2333","24","7"
"1080","9","6"
"1080","9","7"
"1434","4","6"
"1434","7","7"
"1939","27","6"
"1939","20","7"
"1772","19","6"
"1772","16","7"
"1392","6","6"
"1392","13","7"
"1243","13","6"
"1243","3","7"
"1667","17","6"
"1667","13","7"
"1915","11","6"
"1915","18","7"
"1598","21","5"
"1598","4","7"
"743","3","6"
"743","9","7"
"2239","27","6"
"2239","11","7"
"1512","17","6"
